Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1419.6479385,1.57398286446622e-07,5.807644175213124e-08,6.180164001384152e-08,167.4952891237333,167.4952891237333,11.064368473871951,1.9575662589575664
1419.65184475,1.5776112696993466e-07,5.794286964268809e-08,6.123503917247734e-08,166.24268648123564,166.24268648123564,9.72958291691927,0.622780702004885
1419.655751,1.6218100973589298e-07,6.053408747539135e-08,6.412095765851622e-08,170.68220865040016,170.68220865040016,10.409825309910104,1.3030230949957193
1419.65965725,1.599558028614668e-07,5.861381645140285e-08,6.237348354824192e-08,165.62104726463815,165.62104726463815,10.944148944147656,1.8373467292332712
1419.6635635,1.6405897731995388e-07,5.95662143529011e-08,6.353309318517436e-08,163.16507416543666,163.16507416543666,11.199141665816512,2.092339450902127
1419.66746975,1.6481623915255085e-07,5.9979107625551e-08,6.397348354826482e-08,163.77452188760677,163.77452188760677,11.239728520205688,2.132926305291303
1419.671376,1.6672472125510626e-07,6.123503917247734e-08,6.516283940608428e-08,166.24268648123538,166.24268648123538,10.984022759746779,1.8772205448323938
1419.67528225,1.690440931643265e-07,6.180164001384152e-08,6.591738952443213e-08,165.00248752702836,165.00248752702836,11.321506268795588,2.214704053881203
1419.6791885,1.713957307508427e-07,6.30957344480193e-08,6.683439175686149e-08,166.86742657054404,166.86742657054404,10.183785260939032,1.0769830460246475
1419.68309475,1.7298163592151034e-07,6.412095765851622e-08,6.760829753919818e-08,168.76046898738133,168.76046898738133,9.450292623713096,0.3434904087987114
1419.687001,1.7378008287493743e-07,6.353309318517436e-08,6.760829753919818e-08,165.00248752702896,165.00248752702896,10.904472655625312,1.7976704407109274
1419.69090725,1.7538805018417602e-07,6.471426157485831e-08,6.870684400142317e-08,167.49528912373333,167.49528912373333,10.642192976643713,1.535390761729328
1419.6948135,1.7579236139586932e-07,6.516283940608428e-08,6.918309709189362e-08,168.76046898738133,168.76046898738133,10.720248953288092,1.6134467383737068
1419.69871975,1.782378767448089e-07,6.591738952443213e-08,6.982324040771705e-08,168.12629593169822,168.12629593169822,10.258377960098642,1.1515757451842568
1419.702626,1.7701089583174203e-07,6.531305526474716e-08,6.950243175887976e-08,167.495289123733,167.495289123733,11.06436847387269,1.9575662589583054
1419.70653225,1.7906058540352948e-07,6.546361740672747e-08,6.982324040771705e-08,165.00248752702865,165.00248752702865,11.32150626879519,2.214704053880805
1419.7104385,1.7906058540352948e-07,6.606934480075964e-08,7.046930689671468e-08,167.4952891237333,167.4952891237333,11.48751718613235,2.380714971217966
1419.71434475,1.8030177408595698e-07,6.622165037017616e-08,7.046930689671468e-08,166.24268648123513,166.24268648123513,10.98402275974675,1.8772205448323653
1419.718251,1.8071741260109275e-07,6.591738952443213e-08,7.030723198838328e-08,164.3869860698736,164.3869860698736,11.28051625913713,2.173714044222745
1419.72215725,1.8197008586099845e-07,6.652731562017406e-08,7.030723198838328e-08,165.00248752702834,165.00248752702834,9.659117901411832,0.5523156864974474
1419.7260635,1.8238957023196385e-07,6.745280276979216e-08,7.144963260755134e-08,168.1262959316979,168.1262959316979,10.258377960098983,1.1515757451845978
1419.72996975,1.8365383433483474e-07,6.745280276979216e-08,7.177942912713614e-08,166.24268648123507,166.24268648123507,10.98402275974675,1.8772205448323653
1419.733876,1.8365383433483474e-07,6.760829753919818e-08,7.177942912713614e-08,166.8674265705443,166.8674265705443,10.603456646580554,1.496654431666169
1419.73778225,1.84926861897808e-07,6.807693586937418e-08,7.261059574351542e-08,166.8674265705443,166.8674265705443,11.44570397542418,2.3389017605097955
1419.7416885,1.84926861897808e-07,6.745280276979216e-08,7.194489780036998e-08,164.38698606987327,164.38698606987327,11.280516259137443,2.1737140442230576
1419.74559475,1.8620871366628696e-07,6.807693586937418e-08,7.277798045368243e-08,165.00248752702865,165.00248752702865,11.739501243730302,2.6326990288159173
1419.749501,1.8407720014689544e-07,6.760829753919818e-08,7.161434102129012e-08,166.24268648123558,166.24268648123558,10.146767083379558,1.039964868465173
1419.75340725,1.8663796908346694e-07,6.854882264526621e-08,7.277798045368243e-08,166.24268648123564,166.24268648123564,10.564912958666241,1.4581107437518561
1419.7573135,1.8535316234148105e-07,6.776415076106757e-08,7.211074791828991e-08,165.0024875270292,165.0024875270292,10.904472655625,1.7976704407106148
1419.76121975,1.8706821403657996e-07,6.870684400142317e-08,7.311390834834173e-08,166.24268648123532,166.24268648123532,10.984022759746807,1.8772205448324222
1419.765126,1.8706821403657996e-07,6.886522963442761e-08,7.311390834834173e-08,166.8674265705446,166.8674265705446,10.603456646580582,1.4966544316661974
1419.76903225,1.8663796908346694e-07,6.870684400142317e-08,7.261059574351542e-08,166.8674265705443,166.8674265705443,9.765079092699693,0.6582768777853083
1419.7729385,1.8620871366628696e-07,6.776415076106757e-08,7.194489780036998e-08,163.77452188760648,163.77452188760648,10.412638168804165,1.3058359538897797
1419.77684475,1.8535316234148105e-07,6.776415076106757e-08,7.211074791828991e-08,165.0024875270292,165.0024875270292,10.904472655625,1.7976704407106148
1419.780751,1.8749945080674173e-07,6.854882264526621e-08,7.294575102545693e-08,165.0024875270292,165.0024875270292,10.904472655625312,1.7976704407109274
1419.78465725,1.84926861897808e-07,6.66806769213622e-08,7.128530301265191e-08,161.3546244280118,161.3546244280118,11.48759849800689,2.3807962830925042
1419.7885635,1.8620871366628696e-07,6.792036326171843e-08,7.227698036021703e-08,164.38698606987327,164.38698606987327,10.86499253444191,1.7581903195275252
1419.79246975,1.8706821403657996e-07,6.839116472814293e-08,7.311390834834173e-08,165.00248752702896,165.00248752702896,11.73950124373036,2.632699028815974
1419.796376,1.8793168168032686e-07,6.918309709189362e-08,7.345138681571143e-08,166.8674265705443,166.8674265705443,10.603456646580526,1.4966544316661405
1419.80028225,1.8706821403657996e-07,6.870684400142317e-08,7.345138681571143e-08,166.24268648123532,166.24268648123532,11.825143032725123,2.7183408178107378
1419.8041885,1.8706821403657996e-07,6.823386941416703e-08,7.277798045368243e-08,164.3869860698741,164.3869860698741,11.280516259137158,2.1737140442227734
1419.80809475,1.8749945080674173e-07,6.870684400142317e-08,7.311390834834173e-08,165.62104726463815,165.62104726463815,10.944148944147685,1.8373467292332997
1419.812001,1.857804455091697e-07,6.776415076106757e-08,7.227698036021703e-08,164.38698606987413,164.38698606987413,11.280516259137158,2.1737140442227734
1419.81590725,1.8706821403657996e-07,6.870684400142317e-08,7.311390834834173e-08,166.24268648123532,166.24268648123532,10.984022759746807,1.8772205448324222
1419.8198135,1.857804455091697e-07,6.823386941416703e-08,7.294575102545693e-08,166.24268648123584,166.24268648123584,11.825143032725208,2.718340817810823
1419.82371975,1.8620871366628696e-07,6.823386941416703e-08,7.261059574351542e-08,165.62104726463812,165.62104726463812,10.944148944147258,1.8373467292328733
1419.827626,1.8535316234148105e-07,6.760829753919818e-08,7.227698036021703e-08,164.38698606987384,164.38698606987384,11.696997864945132,2.590195650030747
1419.83153225,1.857804455091697e-07,6.745280276979216e-08,7.177942912713614e-08,163.1650741654364,163.1650741654364,10.78661541688706,1.6798132019726744
1419.8354385,1.8535316234148105e-07,6.729766562843182e-08,7.194489780036998e-08,163.16507416543666,163.16507416543666,11.612618885963485,2.5058166710491
1419.83934475,1.8407720014689544e-07,6.637430704019089e-08,7.079457843841373e-08,161.35462442801227,161.35462442801227,11.078572735621748,1.9717705207073628
1419.843251,1.8407720014689544e-07,6.652731562017406e-08,7.112135136533295e-08,161.95514578315112,161.95514578315112,11.529067427657054,2.422265212742669
1419.84715725,1.832314422371213e-07,6.606934480075964e-08,7.014552984199713e-08,161.354624428012,161.354624428012,10.263341246670706,1.1565390317563207
1419.8510635,1.832314422371213e-07,6.66806769213622e-08,7.095777679633887e-08,163.77452188760628,163.77452188760628,10.825707233236983,1.718905018322598
1419.85496975,1.8155156627731371e-07,6.606934480075964e-08,7.030723198838328e-08,163.77452188760648,163.77452188760648,10.825707233236699,1.7189050183223138
1419.858876,1.8071741260109275e-07,6.516283940608428e-08,6.998419960022746e-08,161.35462442801207,161.35462442801207,12.308480901677314,3.2016786867629285
1419.86278225,1.7947336268325267e-07,6.576578373554199e-08,6.982324040771705e-08,165.62104726463787,165.62104726463787,10.526560580821695,1.4197583659073096
1419.8666885,1.7864875748520516e-07,6.486344335482375e-08,6.950243175887976e-08,163.16507416543584,163.16507416543584,12.027049269543028,2.9202470546286428
1419.87059475,1.7906058540352948e-07,6.501296903430916e-08,6.918309709189362e-08,163.16507416543664,163.16507416543664,10.786615416886747,1.6798132019723617
1419.874501,1.7782794100389227e-07,6.382634861905483e-08,6.839116472814293e-08,160.1623670225633,160.1623670225633,11.812297740852387,2.7054955259380016
1419.87840725,1.7782794100389227e-07,6.412095765851622e-08,6.823386941416703e-08,161.35462442801233,161.35462442801233,10.670487706385273,1.5636854914708884
1419.8823135,1.761976046411629e-07,6.30957344480193e-08,6.745280276979216e-08,159.57059136493442,159.57059136493442,11.364402310306929,2.2576000953925437
1419.88621975,1.7498466886246564e-07,6.28058358813318e-08,6.729766562843182e-08,160.1623670225635,160.1623670225635,11.812297740852415,2.70549552593803
1419.890126,1.7378008287493743e-07,6.251726927756862e-08,6.637430704019089e-08,160.75703813874148,160.75703813874148,10.226472827579784,1.1196706126653986
1419.89403225,1.7298163592151034e-07,6.137620051647946e-08,6.576578373554199e-08,157.23205515620677,157.23205515620677,11.602723872040684,2.495921657126299
1419.8979385,1.7060823890031244e-07,6.095368972401694e-08,6.516283940608428e-08,158.98169162754718,158.98169162754718,11.323735910067398,2.2169336951530134
1419.90184475,1.690440931643265e-07,5.9979107625551e-08,6.426877173170194e-08,157.232055156207,157.232055156207,11.60272387204077,2.4959216571263845
1419.905751,1.7701089583174203e-07,6.516283940608428e-08,6.918309709189362e-08,166.86742657054464,166.86742657054464,10.603456646580526,1.4966544316661405
1419.90965725,1.6826740610704672e-07,5.970352865838366e-08,6.397348354826482e-08,157.23205515620677,157.23205515620677,11.602723872041082,2.495921657126697
1419.9135635,1.6865530253887424e-07,6.039486293763807e-08,6.441692655151775e-08,159.57059136493467,159.57059136493467,10.959763053474234,1.8529608385598486
1419.91746975,1.6943378004473287e-07,6.053408747539135e-08,6.516283940608428e-08,158.98169162754712,158.98169162754712,12.53889508168217,3.4320928667677855
1419.921376,1.6943378004473287e-07,6.123503917247734e-08,6.531305526474716e-08,161.95514578315112,161.95514578315112,11.118565128589921,2.011762913675536
1419.92528225,1.6943378004473287e-07,6.137620051647946e-08,6.561452663029057e-08,162.5586222771845,162.5586222771845,11.570740424065917,2.4639382091515323
1419.9291885,1.7060823890031244e-07,6.109420249055714e-08,6.546361740672747e-08,159.57059136493413,159.57059136493413,11.769974356962194,2.6631721420478094
1419.93309475,1.7060823890031244e-07,6.165950018614822e-08,6.591738952443213e-08,161.95514578315112,161.95514578315112,11.529067427656685,2.4222652127422997
1419.937001,1.6982436524617427e-07,6.151768727098678e-08,6.531305526474716e-08,162.5586222771845,162.5586222771845,10.337622564841439,1.230820349927054
1419.94090725,1.702158508394952e-07,6.208690342300637e-08,6.622165037017616e-08,164.38698606987356,164.38698606987356,11.280516259137102,2.1737140442227165
1419.9448135,1.6943378004473287e-07,6.194410750767812e-08,6.622165037017616e-08,165.0024875270287,165.0024875270287,11.73950124373033,2.6326990288159458
1419.94871975,1.6982436524617427e-07,6.208690342300637e-08,6.637430704019089e-08,165.00248752702916,165.00248752702916,11.73950124373036,2.632699028815974
1419.952626,1.6865530253887424e-07,6.180164001384152e-08,6.591738952443213e-08,165.62104726463764,165.62104726463764,11.362699948069547,2.2558977331551624
1419.95653225,1.690440931643265e-07,6.194410750767812e-08,6.576578373554199e-08,165.62104726463795,165.62104726463795,10.526560580821638,1.4197583659072528
1419.9604385,1.6982436524617427e-07,6.223002851691589e-08,6.622165037017616e-08,165.62104726463815,165.62104726463815,10.944148944147656,1.8373467292332712
1419.96434475,1.6865530253887424e-07,6.151768727098678e-08,6.546361740672747e-08,164.3869860698733,164.3869860698733,10.864992534441882,1.7581903195274968
1419.968251,1.6865530253887424e-07,6.151768727098678e-08,6.576578373554199e-08,164.3869860698733,164.3869860698733,11.696997864945075,2.59019565003069
1419.97215725,1.6865530253887424e-07,6.123503917247734e-08,6.516283940608428e-08,163.1650741654361,163.1650741654361,10.786615416887088,1.6798132019727028
1419.9760635,1.6865530253887424e-07,6.194410750767812e-08,6.606934480075964e-08,166.24268648123507,166.24268648123507,11.404098708699507,2.2972964937851224
1419.97996975,1.6826740610704672e-07,6.208690342300637e-08,6.591738952443213e-08,167.4952891237333,167.4952891237333,10.642192976643742,1.5353907617293565
1419.983876,1.6826740610704672e-07,6.165950018614822e-08,6.576578373554199e-08,165.62104726463815,165.62104726463815,11.362699948069235,2.2558977331548498
1419.98778225,1.674942876026438e-07,6.208690342300637e-08,6.606934480075964e-08,168.76046898738133,168.76046898738133,11.14552092892336,2.0387187140089758
1419.9916885,1.671090614310707e-07,6.223002851691589e-08,6.606934480075964e-08,170.0384028380238,170.0384028380238,10.799091794266985,1.6922895793526003
1419.99559475,1.671090614310707e-07,6.208690342300637e-08,6.622165037017616e-08,169.39783048811924,169.39783048811924,11.614219061480583,2.5074168465661977
1419.999501,1.6557699634695275e-07,6.109420249055714e-08,6.531305526474716e-08,167.495289123733,167.495289123733,11.911641356916817,2.8048391420024323
1420.00340725,1.6672472125510626e-07,6.208690342300637e-08,6.591738952443213e-08,170.03840283802407,170.03840283802407,10.799091794266673,1.6922895793522876
1420.0073135,1.6634126503701698e-07,6.137620051647946e-08,6.531305526474716e-08,167.4952891237333,167.4952891237333,11.06436847387198,1.9575662589575948
1420.01121975,1.6595869074375615e-07,6.180164001384152e-08,6.576578373554199e-08,170.0384028380235,170.0384028380235,11.227491463194553,2.1206892482801685
1420.015126,1.6672472125510626e-07,6.165950018614822e-08,6.576578373554199e-08,168.12629593169822,168.12629593169822,11.529539792012685,2.4227375770982995
1420.01903225,1.6557699634695275e-07,6.123503917247734e-08,6.486344335482375e-08,168.12629593169822,168.12629593169822,10.258377960098642,1.1515757451842568
1420.0229385,1.6330519478943344e-07,6.039486293763807e-08,6.456542290346562e-08,168.12629593169856,168.12629593169856,11.955215455829489,2.8484132409151037
1420.02684475,1.6255487557504835e-07,5.9979107625551e-08,6.397348354826482e-08,167.49528912373356,167.49528912373356,11.487517186132322,2.3807149712179374
1420.030751,1.6443717232149307e-07,6.067363295885046e-08,6.471426157485831e-08,167.495289123733,167.495289123733,11.487517186132692,2.380714971218307
1420.03465725,1.6255487557504835e-07,6.011737374832779e-08,6.412095765851622e-08,168.12629593169817,168.12629593169817,11.52953979201311,2.422737577098726
1420.0385635,1.6292960326397213e-07,5.9979107625551e-08,6.382634861905483e-08,166.86742657054486,166.86742657054486,11.024095474680479,1.9172932597660939
1420.04246975,1.6368165214278085e-07,6.095368972401694e-08,6.441692655151775e-08,170.03840283802407,170.03840283802407,9.945246065993473,0.8384438510790879
1420.046376,1.6405897731995388e-07,6.095368972401694e-08,6.486344335482375e-08,169.3978304881193,169.3978304881193,11.186403219280265,2.0796010043658804
1420.05028225,1.6443717232149307e-07,6.109420249055714e-08,6.486344335482375e-08,169.39783048811898,169.39783048811898,10.759571326213148,1.6527691112987632
1420.0541885,1.6368165214278085e-07,6.081350012787188e-08,6.441692655151775e-08,169.3978304881195,169.3978304881195,10.333721119258229,1.2269189043438438
1420.05809475,1.6368165214278085e-07,6.137620051647946e-08,6.516283940608428e-08,171.97961217647006,171.97961217647006,10.918855786041405,1.81205357112702
