Velocity,Brightness Temperature,Velocity Corrected
-9.069012280767117,19.101116093108114,11.879652114212805
-9.893469861439245,20.487972129217322,11.055194533540677
-10.717927442044804,21.884441392113214,10.230736952935118
-11.542385022650363,23.055645242106802,9.406279372329559
-12.36684260332249,24.93197781699808,8.58182179165743
-13.19130018392805,25.278654808293876,7.757364211051872
-14.01575776453361,27.645355663488342,6.932906630446311
-14.840215345205737,29.49740591882613,6.108449049774185
-15.664672925811296,32.46129002292665,5.283991469168626
-16.489130506416856,35.38108435152938,4.459533888563065
-17.313588087088984,38.41722141203468,3.6350763078909374
-18.13804566769454,40.64657234645429,2.81061872728538
-18.962503248300102,43.571599390350286,1.9861611466798195
-19.78696082897223,46.31518109829179,1.1617035660076915
-20.611418409577787,52.0694914833127,0.33724598540213435
-21.435875990183348,56.19807592505788,-0.4872115952034264
-22.260333570855476,61.448206009064734,-1.3116691758755543
-23.084791151461033,68.8622638169885,-2.1361267564811115
-23.909248732066594,74.71480689690975,-2.9605843370866722
-24.733706312738722,83.65543861627046,-3.7850419177588
-25.55816389334428,90.48202229106437,-4.609499498364357
-26.38262147394984,100.83657602773658,-5.433957078969918
-27.207079054621968,106.89389296987136,-6.258414659642046
-28.03153663522753,114.04746996575327,-7.082872240247607
-28.855994215833086,119.52107852171767,-7.907329820853164
-29.680451796505213,125.19852935510912,-8.731787401525292
-30.504909377110774,129.27958374981563,-9.556244982130853
-31.32936695771633,128.48248685096533,-10.38070256273641
-32.15382453838846,128.77314350004775,-11.205160143408541
-32.97828211899402,126.27866817788083,-12.029617724014095
-33.80273969959958,126.18764048374862,-12.854075304619656
-34.62719728027171,125.14272963879816,-13.678532885291787
-35.45165486087726,126.12739307667098,-14.50299046589734
-36.276112441549394,124.97923443151268,-15.327448046569472
-37.100570022154955,123.03111314406001,-16.151905627175033
-37.92502760276051,124.4885317845995,-16.976363207780587
-38.74948518343264,119.54400568799343,-17.800820788452718
-39.5739427640382,115.64108838883035,-18.62527836905828
-40.398400344643754,111.54165962647997,-19.449735949663832
-41.222857925315886,107.50221766074358,-20.274193530335964
-42.047315505921446,103.93131267112472,-21.098651110941525
-42.871773086527,96.35559455639233,-21.92310869154708
-43.69623066719913,93.53447388137454,-22.74756627221921
-44.52068824780469,87.58213775662028,-23.57202385282477
-45.34514582841025,84.1292397273869,-24.39648143343033
-46.16960340908238,78.87962145390895,-25.220939014102456
-46.99406098968794,75.97525986265097,-26.045396594708016
-47.8185185702935,71.1980072117052,-26.869854175313577
-48.64297615096562,66.86077029861616,-27.6943117559857
-49.467433731571184,63.70882928647157,-28.518769336591262
-50.291891312176745,59.92228694136213,-29.343226917196823
-51.11634889284887,57.186115109065554,-30.167684497868947
-51.94080647345443,54.17343313949186,-30.992142078474508
-52.76526405405999,54.15989771822248,-31.81659965908007
-53.589721634732115,49.90425360143024,-32.64105723975219
-54.414179215337676,48.849189925082186,-33.465514820357754
-55.238636795943236,46.753583031572106,-34.289972400963315
-56.06309437661536,44.81385438232695,-35.11442998163544
-56.88755195722092,44.74620963080312,-35.938887562241
-57.71200953782648,42.388767994079785,-36.76334514284656
